Ranking 2026,Country,Total,Anti-Discrimination Legislation,Marriage / Civil Partnership,Adoption Allowed,Transgender Rights,Intersex / 3rd Option,Equal Age of Consent,Conversion Therapy,LGBT Marketing,Religious Influence,HIV Travel Restrictions,Anti-Gay Laws,Homosexuality Illegal,Pride Banned,Censorship,Locals Hostile,Prosecution,Murders,Death Sentences
1,Iceland,14,2,2,2,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0
2,Malta,13,2,2,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0
2,Spain,13,2,2,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0
4,Belgium,12,2,2,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0
4,Canada,12,3,2,2,3,1,0,1,1,0,-1,0,0,0,0,0,0,0,0
4,Germany,12,2,2,2,3,2,0,1,1,0,0,0,0,0,0,-1,0,0,0
4,Portugal,12,3,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,New Zealand,11,2,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Norway,11,2,2,2,3,-1,0,1,1,0,0,0,0,0,0,1,0,0,0
8,Switzerland,11,3,2,2,3,-1,0,1,1,0,0,0,0,0,0,0,0,0,0
11,Australia,10,2,2,2,2,1,0,1,1,0,-1,0,0,0,0,0,0,0,0
11,Chile,10,2,2,2,3,2,0,1,0,-1,0,0,0,0,0,0,0,-1,0
11,France,10,2,2,2,3,-1,0,1,1,0,0,0,0,0,0,0,0,0,0
11,Uruguay,10,2,2,2,3,1,0,1,0,0,0,0,0,0,0,0,0,-1,0
15,Austria,9,2,2,2,2,1,0,-1,1,0,0,0,0,0,0,0,0,0,0
15,Colombia,9,2,2,2,3,2,0,-1,1,0,0,0,0,0,0,-1,0,-1,0
15,Cuba,9,3,2,2,3,1,0,-1,0,0,-1,0,0,0,0,0,0,0,0
15,Denmark,9,2,2,2,3,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
15,Faroe Islands,9,2,2,2,3,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
15,Finland,9,3,2,2,3,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0
15,French Polynesia,9,2,2,2,3,-1,0,1,1,-1,0,0,0,0,0,0,0,0,0
15,Greece,9,2,2,2,3,1,0,1,0,-1,0,0,0,0,0,-1,0,0,0
15,Greenland,9,2,2,2,3,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
15,Luxembourg,9,3,2,2,3,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0
15,Netherlands,9,3,2,2,2,1,0,-1,0,0,0,0,0,0,0,0,0,0,0
15,New Caledonia,9,2,2,2,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0
15,Sweden,9,3,2,2,3,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0
28,Ireland,8,2,2,2,3,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0
28,Reunion,8,2,2,2,3,-1,0,1,0,0,0,0,0,0,0,-1,0,0,0
28,Taiwan,8,3,2,2,1,-1,0,1,1,0,0,0,0,0,0,-1,0,0,0
31,India,7,3,1,1,2,1,0,0,0,-1,0,0,0,0,0,0,0,0,0
32,Andorra,6,3,2,2,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,6,1,2,2,1,1,0,1,1,-1,0,0,0,0,0,-1,0,-1,0
32,Brazil,6,2,2,2,1,1,0,1,1,-1,0,0,0,0,0,-1,0,-2,0
32,Gibraltar,6,2,2,2,2,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0
32,Guadeloupe,6,2,2,2,3,-1,0,1,0,-1,0,0,0,0,0,-2,0,0,0
32,Martinique,6,2,2,2,3,-1,0,1,0,-1,0,0,0,0,0,-2,0,0,0
32,Mexico,6,3,2,1,2,0,0,1,1,-1,0,0,0,0,0,-1,0,-2,0
32,Nepal,6,3,0,1,3,1,0,-1,0,0,0,0,0,0,0,-1,0,0,0
32,United Kingdom,6,2,2,2,1,-1,0,0,1,0,0,0,0,0,0,-1,0,0,0
41,Costa Rica,5,2,2,2,1,1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0
41,Ecuador,5,3,2,0,3,-1,0,1,0,-1,0,0,0,0,0,-1,0,-1,0
41,Estonia,5,2,2,2,2,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0
41,Israel,5,2,1,2,2,-1,0,1,0,-1,0,0,0,0,0,-1,0,0,0
41,Puerto Rico,5,1,2,2,1,1,0,1,0,-1,0,0,0,0,0,0,0,-2,0
41,Slovenia,5,3,2,2,2,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0
47,Aruba,4,1,2,0,3,-1,0,-1,1,0,0,0,0,0,0,-1,0,0,0
47,Bolivia,4,3,1,1,2,-1,0,1,0,-1,0,0,0,0,0,-1,0,-1,0
47,South Africa,4,3,2,2,2,-1,0,-1,0,-1,0,0,0,0,0,0,0,-2,0
47,USA,4,1,2,2,0,1,0,0,1,-1,0,0,0,0,-1,0,0,-1,0
47,Virgin Islands,4,3,2,2,2,-1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0
52,Cyprus,3,1,1,0,3,-1,0,1,0,-1,0,0,0,0,0,-1,0,0,0
52,Czech Republic,3,2,1,1,2,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0
52,Guam,3,1,2,2,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0
52,Thailand,3,2,2,2,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,-1,0
56,Croatia,2,2,1,2,2,-1,0,-1,0,-1,0,0,0,0,0,-2,0,0,0
56,Liechtenstein,2,1,2,2,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0
56,San Marino,2,3,1,1,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0
59,Curacao,-1,1,2,0,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0
