x,y
1.5462350000129135,3.1264041822093525
6.581631749120051,6.620877264026046
7.845270965604734,4.116743122353542
7.077302960395335,3.4786143609545443
7.021638055400912,6.091445608387302
3.039148923781641,3.1001112291941912
6.022990166519303,3.6722429187425547
5.209950206787521,7.0611665970826465
8.038529751317496,4.872355154218022
4.685008738992104,8.49299644017045
5.9309426544494634,5.669823816168398
5.654046231665927,5.6604821432208094
6.765881800082722,5.59754530160609
5.50544717154909,6.361830766418507
5.854924882797267,8.102241575169828
5.351570640329238,8.409230997601169
6.394496767351777,4.939059999511557
2.5815947905656262,5.588131386106737
5.262083725933525,4.672972423795743
2.4405787641476353,3.5079604752871507
4.736661185398889,5.469592743211678
7.254622984485522,4.196241908917026
8.035960940514864,4.10020248325427
6.833977392009947,4.846042221968862
3.433805184235327,4.260455288476119
3.2339704593900476,3.6223860389805496
7.87356293505038,3.779056408209044
4.123644218580365,5.051180217739307
8.08438654514985,4.496536218282811
6.808754646031146,6.958746024680117
7.559055899017478,5.173630175743239
4.775774033171107,6.323216612905329
5.720899681884107,8.406121093877516
3.5837036308665082,5.09188013877554
5.613780996829749,5.895671746980172
6.380893490558942,4.299167798700525
3.13261047778851,4.4080439341905215
9.111969600537124,4.02290253522366
9.776431233873765,3.2969259606155057
7.734586536942723,3.0526259054466953
8.380769995753509,4.804887608332734
5.398045660677226,7.78242551305497
4.288348818883778,8.62225712851858
5.499220419770708,6.853157701340878
6.399786479922833,4.7124858143025925
9.49430581224364,3.080020202978374
5.7105227630319035,8.04571651304739
2.0343319773305923,3.5848401950507225
8.988082049334823,4.092927149687576
4.897570245873958,6.2641257843683436
4.0808522999743015,5.570263855791581
6.108645516747996,4.732011842072804
1.8686974605170668,4.2398206288418265
7.15800744655019,3.3562164159126597
7.9265475360896485,5.296036568552134
6.090223529237955,6.623796007672227
4.630193924788776,9.208876225291455
5.276511591036243,5.977858041513787
4.515780525260301,8.800467259103185
5.0687644282586675,5.889157277710823
3.5546061668709714,7.042427860977913
3.3456069304459692,4.507983634785593
3.1394632032967795,5.745325267971348
